match_id,season,date,match_number,venue,city,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,result_method,result_type,player_of_match,overs_per_side,balls_per_over,match_type,gender
959175,2015/16,2016-02-04,1.0,Dubai International Cricket Stadium,,Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,,8.0,,,Mohammad Nawaz (3),20,6,T20,male
959177,2015/16,2016-02-05,2.0,Dubai International Cricket Stadium,,Lahore Qalandars,Karachi Kings,Karachi Kings,field,Karachi Kings,,7.0,,,Shakib Al Hasan,20,6,T20,male
959179,2015/16,2016-02-05,3.0,Dubai International Cricket Stadium,,Peshawar Zalmi,Islamabad United,Peshawar Zalmi,bat,Peshawar Zalmi,24.0,,,,Mohammad Asghar,20,6,T20,male
959181,2015/16,2016-02-06,4.0,Dubai International Cricket Stadium,,Karachi Kings,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,,8.0,,,Ahmed Shehzad,20,6,T20,male
959183,2015/16,2016-02-06,5.0,Dubai International Cricket Stadium,,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,field,Peshawar Zalmi,,9.0,,,Tamim Iqbal,20,6,T20,male
959185,2015/16,2016-02-07,6.0,Dubai International Cricket Stadium,,Islamabad United,Karachi Kings,Karachi Kings,field,Islamabad United,2.0,,,,Saeed Ajmal,20,6,T20,male
959187,2015/16,2016-02-07,7.0,Dubai International Cricket Stadium,,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,,3.0,,,Mohammad Nawaz (3),20,6,T20,male
959189,2015/16,2016-02-08,8.0,Dubai International Cricket Stadium,,Lahore Qalandars,Quetta Gladiators,Quetta Gladiators,field,Lahore Qalandars,63.0,,,,Umar Akmal,20,6,T20,male
959191,2015/16,2016-02-10,9.0,Sharjah Cricket Stadium,,Lahore Qalandars,Islamabad United,Islamabad United,field,Islamabad United,,8.0,,,Sharjeel Khan,20,6,T20,male
959195,2015/16,2016-02-11,11.0,Sharjah Cricket Stadium,,Islamabad United,Quetta Gladiators,Quetta Gladiators,field,Quetta Gladiators,,7.0,,,GD Elliott,20,6,T20,male
