Sr_No	Full_Name	Country	Player_Role	Batting_Style	Bowling_Style	Base_Price
1	Aaron Hardie	Australia	All Rounder	Right Hand Bat	Right-Arm Medium Fast	42000000
2	Adam Zampa	Australia	Bowler	Right Hand Bat	Right-Arm Legspin	42000000
3	Ashton Turner	Australia	Batter	Right Hand Bat	Right-Arm Offspin	42000000
4	David Warner	Australia	Batter	Left Hand Bat	Right-Arm Medium	42000000
5	Riley Meredith	Australia	Bowler	Right Hand Bat	Right-Arm Fast	42000000
6	Chris Jordan	England	Bowler	Right Hand Bat	Right-Arm Fast	42000000
7	David Willey	England	All Rounder	Left Hand Bat	Left-Arm Fast	42000000
8	Joe Clarke	England	Wicketkeeper Batter	Right Hand Bat	Not Applicable	42000000
9	Liam Dawson	England	All Rounder	Right Hand Bat	Slow left-arm orthodox	42000000
10	Tom Curran	England	All Rounder	Right Hand Bat	Right-Arm Medium Fast	42000000
11	Sandeep Lamichanne	Nepal	Bowler	Right Hand Bat	Right-Arm Legspin	42000000
12	Daryl Mitchell	New Zealand	Batter	Right Hand Bat	Right-Arm Medium Fast	42000000
13	Mark Chapman	New Zealand	Batter	Left Hand Bat	Slow left-arm orthodox	42000000
14	Michael Bracewell	New Zealand	All Rounder	Left Hand Bat	Right-Arm Offspin	42000000
15	Rilee Rossouw	South Africa	Batter	Left Hand Bat	Right-Arm Offspin	42000000
16	Alzarri Joseph	West Indies	Bowler	Right Hand Bat	Right-Arm Medium Fast	42000000
17	Jake Fraser-McGurk	Australia	Batter	Right Hand Bat	Right-Arm Offspin	42000000
18	William Sutherland	Australia	All Rounder	Right Hand Bat	Right-Arm Fast	42000000
19	James Vince	England	Batter	Right Hand Bat	Right-Arm Medium	42000000
20	Imad Wasim	Pakistan	All Rounder	Left Hand Bat	Slow left-arm orthodox	42000000
21	Mohammad Amir	Pakistan	Bowler	Left Hand Bat	Left-Arm Medium Fast	42000000
22	Rassie Van Der Dussen	South Africa	Batter	Right Hand Bat	Right-Arm Legspin	42000000
23	Reeza Hendricks	South Africa	Batter	Right Hand Bat	Right-Arm Offspin	42000000
24	Dasun Shanaka	Sri Lanka	All Rounder	Right Hand Bat	Right-Arm Medium Fast	42000000
25	Kusal Mendis	Sri Lanka	Wicketkeeper Batter	Right Hand Bat	Right-Arm Legspin	42000000
26	Evin Lewis	West Indies	Batter	Left Hand Bat	Right-Arm Medium	42000000
27	Brandon King	West Indies	Batter	Right Hand Bat	Right-Arm Offspin	42000000
